TOF, Temperature 
117.419119,0.000000
117.418382,0.000000
117.417708,0.000000
117.419696,0.000000
117.420097,0.000000
117.421210,0.000000
117.419607,0.000000
117.422550,0.000000
117.424265,0.000000
117.425737,0.000000
117.421214,0.000000
117.425980,0.000000
117.422472,0.000000
117.430805,0.000000
117.422728,0.000000
117.426225,0.000000
117.427276,0.000000
117.427019,0.000000
117.425505,0.000000
117.428033,0.000000
117.426225,0.000000
117.444362,0.000000
117.425490,0.000000
117.433838,0.000000
117.426470,0.000000
117.431863,0.000000
117.431618,0.000000
117.431373,0.000000
117.429903,0.000000
117.431128,0.000000
117.431058,0.000000
117.434635,0.000000
117.433077,0.000000
117.432598,0.000000
117.432576,0.000000
117.435049,0.000000
117.434068,0.000000
117.434852,0.000000
117.436867,0.000000
117.436362,0.000000
117.408578,0.000000
117.410357,0.000000
117.410104,0.000000
117.412119,0.000000
117.411110,0.000000
117.411764,0.000000
117.416414,0.000000
117.414647,0.000000
117.413634,0.000000
117.416422,0.000000
117.412744,0.000000
117.409848,0.000000
117.408578,0.000000
117.417676,0.000000
117.418137,0.000000
117.414896,0.000000
117.418434,0.000000
117.416919,0.000000
