TOF, Temperature 
117.279547,0.000000
117.280638,0.000000
117.280304,0.000000
117.279291,0.000000
117.280052,0.000000
117.280557,0.000000
117.281126,0.000000
117.281058,0.000000
117.279547,0.000000
117.277780,0.000000
117.276514,0.000000
117.274495,0.000000
117.273285,0.000000
117.272476,0.000000
117.270589,0.000000
117.269696,0.000000
117.268938,0.000000
117.268872,0.000000
117.269696,0.000000
117.271615,0.000000
117.272550,0.000000
117.273738,0.000000
117.272057,0.000000
117.272224,0.000000
117.272728,0.000000
117.276010,0.000000
117.277695,0.000000
117.282829,0.000000
117.284599,0.000000
117.282843,0.000000
117.284343,0.000000
117.286615,0.000000
117.287254,0.000000
117.287628,0.000000
117.287746,0.000000
117.287744,0.000000
117.285609,0.000000
117.284343,0.000000
117.284343,0.000000
117.284595,0.000000
117.285294,0.000000
117.285100,0.000000
117.283838,0.000000
117.282324,0.000000
117.283823,0.000000
117.286615,0.000000
117.289896,0.000000
117.287628,0.000000
117.286110,0.000000
117.285100,0.000000
117.286114,0.000000
117.287877,0.000000
117.291422,0.000000
117.295200,0.000000
117.297224,0.000000
117.294699,0.000000
117.293382,0.000000
117.289647,0.000000
117.289216,0.000000
117.289951,0.000000
117.287123,0.000000
117.287372,0.000000
117.288886,0.000000
117.290405,0.000000
117.290152,0.000000
117.291162,0.000000
117.292424,0.000000
117.290932,0.000000
117.289706,0.000000
117.287991,0.000000
117.286366,0.000000
117.286615,0.000000
117.287240,0.000000
117.291158,0.000000
117.292424,0.000000
117.291177,0.000000
117.292424,0.000000
117.292676,0.000000
117.293686,0.000000
117.294607,0.000000
117.294191,0.000000
117.292424,0.000000
117.290439,0.000000
117.293437,0.000000
117.294443,0.000000
117.294952,0.000000
117.293686,0.000000
117.291919,0.000000
117.290152,0.000000
117.290405,0.000000
117.289844,0.000000
117.288234,0.000000
117.287499,0.000000
117.284896,0.000000
117.288385,0.000000
117.289395,0.000000
117.286867,0.000000
117.286619,0.000000
117.288236,0.000000
117.291414,0.000000
117.290909,0.000000
117.292676,0.000000
117.292424,0.000000
117.290657,0.000000
117.288726,0.000000
117.286867,0.000000
117.285605,0.000000
117.284343,0.000000
117.283838,0.000000
117.285857,0.000000
117.286362,0.000000
117.287624,0.000000
117.290442,0.000000
117.291414,0.000000
117.292402,0.000000
117.244952,0.000000
117.242424,0.000000
117.241422,0.000000
117.237372,0.000000
117.238021,0.000000
117.238890,0.000000
117.238638,0.000000
117.236867,0.000000
117.238638,0.000000
117.242157,0.000000
117.242171,0.000000
117.241667,0.000000
117.239900,0.000000
117.237372,0.000000
117.234848,0.000000
117.230557,0.000000
117.229038,0.000000
117.228786,0.000000
117.230883,0.000000
117.235539,0.000000
117.241414,0.000000
117.246466,0.000000
117.250000,0.000000
117.250505,0.000000
117.250505,0.000000
117.251771,0.000000
117.249748,0.000000
117.247476,0.000000
117.248037,0.000000
117.250505,0.000000
117.249510,0.000000
117.252019,0.000000
117.252943,0.000000
117.252023,0.000000
117.250252,0.000000
117.249748,0.000000
117.244952,0.000000
117.246354,0.000000
117.247981,0.000000
117.248486,0.000000
117.245958,0.000000
117.244191,0.000000
117.242175,0.000000
117.245705,0.000000
117.243434,0.000000
117.243434,0.000000
117.244443,0.000000
117.243942,0.000000
117.247476,0.000000
117.247917,0.000000
117.250000,0.000000
117.252019,0.000000
117.252776,0.000000
117.251470,0.000000
117.248486,0.000000
117.246077,0.000000
117.244696,0.000000
117.244447,0.000000
117.244119,0.000000
117.243434,0.000000
117.242892,0.000000
117.240657,0.000000
117.239143,0.000000
117.236871,0.000000
117.236110,0.000000
117.237624,0.000000
117.244952,0.000000
117.243185,0.000000
117.243690,0.000000
117.245709,0.000000
117.245962,0.000000
117.247224,0.000000
117.252524,0.000000
117.254547,0.000000
117.254038,0.000000
117.252205,0.000000
117.249495,0.000000
117.250000,0.000000
117.249243,0.000000
117.247728,0.000000
117.247977,0.000000
117.245958,0.000000
117.246214,0.000000
117.249020,0.000000
117.251262,0.000000
117.252524,0.000000
117.251518,0.000000
117.249748,0.000000
117.244952,0.000000
117.241919,0.000000
117.242680,0.000000
