TOF, Temperature 
37.944952,0.000000
37.945453,0.000000
37.944952,0.000000
37.945204,0.000000
37.946354,0.000000
37.945705,0.000000
37.946462,0.000000
37.943181,0.000000
37.940405,0.000000
37.946466,0.000000
37.945204,0.000000
37.941667,0.000000
37.943942,0.000000
37.946462,0.000000
37.945962,0.000000
37.942929,0.000000
37.946462,0.000000
37.943185,0.000000
37.943942,0.000000
37.945958,0.000000
37.931058,0.000000
37.944696,0.000000
37.944948,0.000000
37.947476,0.000000
37.946719,0.000000
37.944952,0.000000
37.943938,0.000000
37.941667,0.000000
37.943434,0.000000
37.948486,0.000000
37.946466,0.000000
37.942171,0.000000
37.945705,0.000000
37.941667,0.000000
37.946214,0.000000
37.944447,0.000000
37.945705,0.000000
37.945200,0.000000
37.945200,0.000000
37.944952,0.000000
37.942676,0.000000
37.945958,0.000000
37.946214,0.000000
37.945709,0.000000
37.945204,0.000000
37.946210,0.000000
37.946214,0.000000
37.945705,0.000000
37.944948,0.000000
37.943938,0.000000
37.944952,0.000000
37.945457,0.000000
37.948738,0.000000
