TOF, Temperature 
37.901514,0.000000
37.903786,0.000000
37.903029,0.000000
37.903538,0.000000
37.903033,0.000000
37.904543,0.000000
37.901518,0.000000
37.902776,0.000000
37.905809,0.000000
37.902776,0.000000
37.899243,0.000000
37.904547,0.000000
37.903281,0.000000
37.900505,0.000000
37.903285,0.000000
37.901514,0.000000
37.904543,0.000000
37.906062,0.000000
37.904547,0.000000
37.900757,0.000000
37.903029,0.000000
37.901010,0.000000
37.902524,0.000000
37.903281,0.000000
37.868686,0.000000
37.902276,0.000000
37.905304,0.000000
37.905048,0.000000
37.905809,0.000000
37.903534,0.000000
37.905048,0.000000
37.904295,0.000000
37.905048,0.000000
37.899495,0.000000
37.899495,0.000000
37.904042,0.000000
37.904796,0.000000
37.907576,0.000000
37.900757,0.000000
37.906058,0.000000
37.901514,0.000000
37.904800,0.000000
37.902276,0.000000
37.901262,0.000000
37.903029,0.000000
37.902019,0.000000
37.904038,0.000000
37.900757,0.000000
37.901010,0.000000
37.902528,0.000000
37.907071,0.000000
