TOF, Temperature 
38.013634,0.000000
38.017933,0.000000
38.016667,0.000000
38.016414,0.000000
38.015405,0.000000
38.014143,0.000000
38.013886,0.000000
38.010605,0.000000
38.016667,0.000000
38.013634,0.000000
38.014896,0.000000
38.013638,0.000000
38.013638,0.000000
38.013634,0.000000
38.011362,0.000000
38.009343,0.000000
38.012372,0.000000
38.015909,0.000000
38.012376,0.000000
38.012881,0.000000
38.011619,0.000000
38.011615,0.000000
38.012628,0.000000
38.010353,0.000000
38.011867,0.000000
38.011110,0.000000
38.013890,0.000000
38.012628,0.000000
38.012628,0.000000
38.013385,0.000000
38.012123,0.000000
38.012881,0.000000
38.015657,0.000000
38.012881,0.000000
38.016414,0.000000
38.014643,0.000000
38.010861,0.000000
38.013133,0.000000
38.015657,0.000000
38.014647,0.000000
38.015405,0.000000
38.012624,0.000000
38.011362,0.000000
38.013634,0.000000
38.013381,0.000000
38.010605,0.000000
38.012119,0.000000
38.015405,0.000000
38.013890,0.000000
38.015657,0.000000
38.015657,0.000000
38.013638,0.000000
38.014395,0.000000
38.014643,0.000000
38.017676,0.000000
38.018437,0.000000
38.015909,0.000000
38.012372,0.000000
38.015909,0.000000
38.016414,0.000000
38.012628,0.000000
38.011362,0.000000
