TOF, Temperature 
38.012624,0.000000
38.012881,0.000000
38.008838,0.000000
38.014395,0.000000
38.010104,0.000000
38.012372,0.000000
38.007324,0.000000
38.015909,0.000000
38.011867,0.000000
38.019443,0.000000
38.013381,0.000000
38.012624,0.000000
38.019191,0.000000
38.012624,0.000000
38.015657,0.000000
38.017171,0.000000
38.011615,0.000000
38.016158,0.000000
38.018181,0.000000
38.015152,0.000000
38.012123,0.000000
38.012628,0.000000
38.012881,0.000000
38.016919,0.000000
38.018690,0.000000
38.016667,0.000000
38.018181,0.000000
38.013890,0.000000
38.012881,0.000000
38.013638,0.000000
38.015657,0.000000
38.012628,0.000000
38.016667,0.000000
38.016919,0.000000
38.012372,0.000000
38.017929,0.000000
38.016162,0.000000
38.014391,0.000000
38.010857,0.000000
38.013133,0.000000
38.015152,0.000000
38.013385,0.000000
38.012119,0.000000
38.012881,0.000000
38.014643,0.000000
38.010353,0.000000
38.014395,0.000000
38.015152,0.000000
38.011871,0.000000
38.016162,0.000000
38.017171,0.000000
38.013638,0.000000
38.016414,0.000000
38.011615,0.000000
38.012376,0.000000
38.014143,0.000000
38.015909,0.000000
38.012119,0.000000
38.012376,0.000000
38.012624,0.000000
38.015401,0.000000
38.007829,0.000000
38.012877,0.000000
